PLAYER,TEAM,AGE,GP,W ,MIN,PTS,FGM,FGA,3PM,3PA,FTM,FTA,OREB,DREB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,plus/minus
Sonny Weems,PHX,29,43,6,11.6,2.5,1,2.6,0.3,1,0.2,0.3,0.2,1.1,1.1,1,0.2,0,1.1,5.5,0,0,-2.3
T.J. Warren,PHX,22,47,14,22.8,11,4.7,9.4,0.6,1.5,1,1.4,1.2,1.9,0.9,0.7,0.8,0.3,2,18.8,1,0,-2.4
Tyson Chandler,PHX,33,66,18,24.5,7.2,2.8,4.8,0,0,1.6,2.6,2.7,6.1,1,1.4,0.5,0.7,2.2,21.3,20,0,-6
Carl Landry,PHI,32,36,5,15.8,9.8,3.9,6.9,0.2,0.4,1.9,2.5,1.4,2.7,0.9,0.6,0.3,0.3,1.9,17.1,0,0,-3.1
Christian Wood,PHI,20,17,0,8.5,3.6,1.3,3.1,0.2,0.6,0.8,1.2,0.8,1.5,0.2,0.1,0.3,0.4,0.6,8.5,0,0,-2.9
Elton Brand,PHI,37,17,2,13.2,4.1,1.8,4.2,0,0.1,0.5,0.5,0.5,3.2,1.1,0.6,0.5,0.5,1.9,12.5,1,0,-2.2
Hollis Thompson,PHI,25,77,10,28,9.8,3.5,8.8,1.9,5.1,0.9,1.2,0.7,2.8,1.3,1,0.5,0.3,2.4,17.4,0,0,-4.8
Isaiah Canaan,PHI,25,77,10,25.5,11,3.4,9.4,2.3,6.3,1.9,2.3,0.3,2,1.8,1.2,0.7,0.2,1.7,17.8,0,0,-6.3
Ish Smith,PHI,27,77,16,29.1,12.6,5.2,12.6,0.7,2.2,1.6,2.3,0.6,3.4,6.5,2.3,1.1,0.3,1.7,29.2,12,0,-4.5
Jahlil Okafor,PHI,20,53,6,30,17.5,7.5,14.7,0,0.1,2.5,3.7,2.3,4.7,1.2,2.3,0.4,1.2,2.6,30.2,11,0,-9.3
Jerami Grant,PHI,22,77,9,26.8,9.7,3.3,7.8,0.5,1.9,2.8,4.2,1.3,3.4,1.8,1.4,0.7,1.6,2.8,23.6,3,0,-6.4
